umap, ,,UMAPClustering
67.930885,-4.2962127,164.33588,1
69.18736,-3.699837,164.50256,1
74.77434,-3.129718,153.81473,2
66.386505,-1.0501512,163.29019,1
66.36364,0.23709294,154.56021,1
67.001465,-1.590467,149.36092,3
63.396523,2.7139254,166.69452,1
66.42088,-3.1775346,162.77133,1
74.28338,-5.6410084,147.39305,4
74.38581,-5.1909213,159.37486,2
74.52955,-5.55958,151.50517,2
63.6834,-7.6268024,176.45016,5
74.5818,-11.19681,160.79079,6
72.82977,-12.120687,154.16913,6
65.34962,-7.29117,166.95456,1
66.999825,-1.6708566,155.73647,1
71.259796,-10.0833,167.59888,6
68.23785,-6.046226,152.86101,1
68.6584,-2.4986768,161.76306,1
70.75927,-6.0642886,158.6296,2
68.782074,-2.7477553,160.22067,1
70.69522,-4.640404,154.29915,2
69.422806,-3.9912102,165.39833,1
77.321556,-8.833301,150.95834,2
77.84549,-8.649178,165.71817,2
65.822174,-2.3236976,161.29703,1
66.923615,-2.8463025,158.54398,1
62.096886,1.2740166,163.84248,1
75.552444,-13.56915,162.80367,6
71.013794,-0.31412527,161.83531,2
67.628075,-8.432543,170.0956,5
69.97001,-6.6770906,162.51584,1
79.994865,-24.908922,169.7638,6
74.332504,-12.211992,161.69693,6
69.52573,-4.7848964,155.133,1
68.78833,-1.0608045,155.92938,1
64.281624,-5.250207,157.92235,1
75.902596,-7.3870873,158.06677,2
72.073235,-11.715417,170.04413,7
59.827656,-0.22014835,159.02399,1
70.38518,-3.3755696,160.38922,2
72.41185,-7.7770643,166.13501,2
74.44272,-4.535701,162.89992,2
74.40863,-5.0576477,158.6798,2
72.34902,-8.47975,162.18835,2
71.03998,-5.7600737,162.68362,2
67.327194,-3.534346,158.2713,1
74.023865,-9.75491,161.5368,2
64.17686,-3.6998746,160.95894,1
69.00738,-2.5499196,163.79686,1
75.67212,-9.252149,170.35368,8
70.11878,-6.7115993,169.0027,2
72.632996,-9.579985,169.41043,2
70.2545,-9.340565,163.31636,2
67.80704,-2.1428082,157.63037,1
72.63299,-6.934062,168.28708,2
64.48485,-1.2809076,162.53821,1
71.67406,-4.835377,155.32492,2
72.45811,-5.9579124,155.18298,2
60.161804,-24.770199,158.66275,9
72.46223,-10.334059,166.0157,6
64.64621,-0.750024,169.50357,1
77.85682,-15.099609,169.245,6
59.75487,-2.9209008,166.06462,1
63.36327,-3.2528915,164.95796,1
65.139626,-1.8119006,159.83318,1
70.05604,-2.73886,160.05289,2
65.47739,-2.9236028,153.46568,1
77.86218,-13.98621,161.33472,6
56.165916,-2.0598428,171.8109,5
74.59651,-12.656805,168.3005,6
61.804977,0.45318967,163.67262,1
63.959694,-3.5544217,167.03845,1
65.33587,-3.3686593,148.31833,3
64.71903,-1.533758,166.92245,1
54.67161,-0.72530097,160.9248,1
66.40461,-2.5402856,166.82204,1
42.62198,-13.479795,156.11671,10
68.973,-5.32237,153.79385,1
69.84865,-5.511915,164.75595,1
73.1999,-6.148196,155.90457,2
67.14753,1.8327206,158.21367,1
64.348366,-1.5727942,160.4061,1
64.59751,0.6720995,161.3424,1
59.191902,-1.5125893,166.43405,1
60.62607,-1.4426768,153.52213,1
70.840996,-0.23028775,157.42068,2
61.48198,1.9547293,156.30931,1
54.221653,0.06088352,169.03777,1
63.37673,-0.42628312,154.38802,1
21.18789,-59.61493,142.16196,11
54.89369,0.88039905,159.8745,1
63.312996,-4.6488533,153.92941,1
71.92828,-5.1365795,166.86111,2
67.1388,0.7623137,158.48666,1
64.52279,0.5253544,163.43355,1
65.18802,1.5925481,162.2158,1
66.77019,0.40813443,157.6095,1
61.7054,-1.7184396,159.01779,1
66.31557,-2.0033748,154.48135,1
56.918488,1.3023353,162.62701,1
74.2636,-7.383027,169.41475,2
64.57843,-2.0158782,162.79228,1
72.93227,-6.2426996,151.29173,2
65.35935,-4.1106005,152.7629,1
67.09718,-0.76207346,162.54675,1
65.15005,-0.82110417,162.50182,1
67.387856,-5.1896377,161.66603,1
63.844025,-3.0478873,145.07239,3
68.2065,-0.4624654,155.16492,1
65.52347,-5.1766305,153.86473,1
63.255394,0.9503481,149.39233,3
64.83037,0.47312066,148.71442,3
70.57083,-7.2453146,152.53328,2
69.139885,-3.0816004,148.63298,3
