label,anatomy,,,FiredHeatmap,FiredFractionHeatmap,ElectricActivityHeatmap,InhibitionHeatmap,CalciumHeatmap,BackgroundActivityHeatmap,GrownAxonsHeatmap,GrownDendritesHeatmap,umap,,,UMAPClustering
1,88.017654,143.88911,83.259131,5,5,3,5,5,7,5,4,120.3041,77.70039,77.28505,2
2,88.071787,143.7922,83.237149,5,4,4,4,5,6,6,5,118.265465,75.44501,55.711044,3
3,88.093434,143.9519,83.168331,2,3,4,2,4,7,5,2,94.57046,70.91439,34.328568,4
4,88.063898,143.81981,83.317563,1,6,3,5,5,6,4,5,66.334885,41.816677,95.1867,5
5,88.066131,143.97354,83.23847,1,3,5,3,3,5,4,7,89.5409,76.7015,35.49983,6
6,88.099804,143.9407,83.302861,3,5,3,5,6,4,6,6,100.19232,88.23711,42.440113,4
7,88.074268,143.94095,83.318852,3,3,4,4,4,5,5,3,85.10578,62.5756,34.953354,7
8,87.973951,143.88182,83.321619,4,5,3,5,7,6,7,7,37.532448,49.38038,78.17699,8
9,88.07221,143.8834,83.28435,3,6,4,5,5,6,5,7,101.88245,91.93597,96.42619,9
10,88.028159,143.86602,83.277468,4,5,3,4,5,5,5,6,86.96461,82.94921,33.789936,6
11,88.256278,143.93238,81.273889,2,6,3,4,6,5,6,6,81.24446,82.516136,113.850555,10
12,88.176467,144.016,81.305591,5,6,2,6,6,7,6,4,78.08143,85.86914,111.19851,10
13,88.293064,143.93797,81.229345,3,6,3,4,5,6,4,6,115.91899,73.47679,85.675896,2
14,88.310326,143.89644,81.247644,3,3,4,3,2,6,3,6,62.032696,93.26247,97.32017,11
15,88.219317,143.96483,81.340796,2,6,3,6,7,6,7,6,108.52789,103.78445,65.31035,12
16,88.30954,143.9924,81.32547,3,5,4,4,7,5,8,5,112.6333,92.76286,83.46997,13
17,88.295247,143.85485,81.258936,3,3,2,4,4,6,5,7,66.99437,56.18176,111.1638,14
18,88.177126,144.00335,81.224019,4,4,4,5,5,8,6,6,51.526993,53.896683,97.77356,15
19,88.309628,144.01482,81.286713,2,4,3,4,3,5,4,7,46.77986,76.043816,89.96898,16
20,88.273387,143.93668,81.210105,1,5,2,5,4,4,4,6,56.012794,88.31705,84.994446,17
21,89.994684,142.86687,83.474483,1,6,4,3,4,8,4,7,91.86978,63.406273,37.917503,18
22,90.092277,142.77197,83.509198,5,4,5,5,6,4,7,6,105.092766,100.48018,58.8534,12
23,90.064656,142.94996,83.569872,2,6,3,3,6,5,5,6,117.56285,88.43738,86.34487,2
24,90.078525,142.96276,83.511576,1,6,5,5,6,5,7,5,94.45573,84.242065,39.6988,4
