label,MRI,,,UPENNModuleClustering
64001,55,125,73,2
64002,56,112,69,2
64003,56,112,70,2
64004,56,113,69,2
64005,56,114,68,2
64006,56,123,70,2
64007,56,125,70,2
64008,56,126,69,2
64009,56,126,70,2
64010,56,126,71,2
64011,56,127,70,2
64012,56,127,71,2
64013,56,127,72,2
64014,56,128,71,2
64015,56,128,72,2
64016,56,129,72,2
64017,56,129,73,2
64018,56,129,74,2
64019,56,130,73,2
64020,57,110,69,2
64021,57,110,70,2
64022,57,110,71,2
64023,57,110,72,4
64024,57,111,68,2
64025,57,111,69,2
64026,57,111,70,2
64027,57,111,71,2
64028,57,111,72,2
64029,57,111,73,4
64030,57,112,67,2
64031,57,112,68,2
64032,57,112,69,2
64033,57,112,70,2
64034,57,112,71,2
64035,57,112,72,2
64036,57,113,67,2
64037,57,113,68,2
64038,57,113,69,2
64039,57,113,70,2
64040,57,113,71,2
64041,57,113,72,2
64042,57,114,67,2
64043,57,114,68,2
64044,57,114,69,2
64045,57,114,70,2
64046,57,114,71,2
64047,57,114,72,2
64048,57,115,69,2
64049,57,115,70,2
64050,57,115,71,2
64051,57,121,69,2
64052,57,121,70,2
64053,57,122,68,2
64054,57,123,67,2
64055,57,123,68,2
64056,57,123,69,2
64057,57,124,67,2
64058,57,124,68,2
64059,57,124,69,2
64060,57,124,70,2
64061,57,124,72,2
64062,57,127,75,2
64063,57,127,76,2
64064,58,106,69,2
64065,58,106,70,2
64066,58,107,69,2
64067,58,107,70,2
64068,58,107,71,2
64069,58,107,72,4
64070,58,108,67,2
64071,58,108,68,2
64072,58,108,69,2
64073,58,108,70,2
64074,58,108,71,4
64075,58,109,66,2
64076,58,109,68,2
64077,58,109,69,2
64078,58,109,70,2
64079,58,109,71,4
64080,58,109,72,4
64081,58,109,73,4
64082,58,110,66,2
64083,58,110,67,2
64084,58,110,68,2
64085,58,110,70,2
64086,58,110,71,4
64087,58,110,72,4
64088,58,110,73,4
64089,58,111,67,2
64090,58,111,68,2
64091,58,111,69,2
64092,58,111,70,2
64093,58,111,71,4
64094,58,111,72,4
64095,58,111,73,2
64096,58,112,67,2
64097,58,112,68,2
64098,58,112,69,2
64099,58,112,70,2
64100,58,112,71,2
64101,58,112,72,4
64102,58,112,73,2
64103,58,113,69,2
64104,58,113,71,4
64105,58,113,72,2
64106,58,114,69,2
64107,58,114,70,4
64108,58,114,71,4
64109,58,114,72,2
64110,58,114,73,2
64111,58,114,74,2
64112,58,115,70,4
64113,58,115,71,4
64114,58,115,72,2
64115,58,115,73,2
64116,58,115,74,2
64117,58,116,69,2
64118,58,116,71,2
64119,58,116,72,2
64120,58,116,73,2
64121,58,116,74,2
64122,58,116,75,2
64123,58,116,76,2
64124,58,117,72,2
64125,58,117,73,2
64126,58,117,74,2
64127,58,117,75,2
64128,58,118,73,2
64129,58,118,74,2
64130,58,119,72,2
64131,58,119,73,2
64132,58,119,74,2
64133,58,120,52,2
64134,58,120,53,2
64135,58,120,54,2
64136,58,120,71,2
64137,58,120,72,2
64138,58,120,73,2
64139,58,120,74,2
64140,58,120,75,2
64141,58,121,52,2
64142,58,121,53,2
64143,58,121,54,2
64144,58,121,55,2
64145,58,121,71,4
64146,58,121,72,2
64147,58,121,73,2
64148,58,121,74,2
64149,58,121,75,2
64150,58,122,55,2
64151,58,122,56,2
64152,58,122,70,4
64153,58,122,71,4
64154,58,122,73,2
64155,58,122,74,2
64156,58,122,75,2
64157,58,123,56,2
64158,58,123,70,4
64159,58,123,71,4
64160,58,123,72,4
64161,58,123,73,4
64162,58,123,74,2
64163,58,123,75,2
64164,58,124,69,2
64165,58,124,70,4
64166,58,124,71,4
64167,58,124,72,4
64168,58,124,73,4
64169,58,124,74,2
64170,58,124,75,2
64171,58,125,69,2
64172,58,125,70,4
64173,58,125,71,4
64174,58,125,72,4
64175,58,125,73,2
64176,58,125,74,2
64177,58,125,75,2
64178,58,125,76,2
64179,58,126,58,2
64180,58,126,59,2
64181,58,126,71,4
64182,58,126,72,4
64183,58,126,73,2
64184,58,126,74,2
64185,58,126,75,2
64186,58,126,76,2
64187,58,127,71,2
64188,58,127,72,2
64189,58,127,73,2
64190,58,127,74,2
64191,58,127,75,2
64192,58,128,72,2
64193,58,128,73,2
64194,58,128,74,2
64195,59,105,69,2
64196,59,105,70,2
64197,59,105,71,4
64198,59,106,68,2
64199,59,106,69,2
64200,59,106,70,4
64201,59,106,71,4
64202,59,106,72,4
64203,59,107,67,2
64204,59,107,68,2
64205,59,107,69,4
64206,59,107,70,4
64207,59,107,71,4
64208,59,107,72,4
64209,59,107,73,4
64210,59,108,66,2
64211,59,108,67,2
64212,59,108,68,4
64213,59,108,69,4
64214,59,108,70,4
64215,59,108,71,4
64216,59,108,72,4
64217,59,108,73,4
64218,59,109,67,2
64219,59,109,68,4
64220,59,109,69,4
64221,59,109,70,4
64222,59,109,71,4
64223,59,109,72,4
64224,59,109,73,4
64225,59,109,74,2
64226,59,110,65,2
64227,59,110,66,2
64228,59,110,67,4
64229,59,110,68,4
64230,59,110,69,4
64231,59,110,70,4
64232,59,110,71,4
64233,59,110,72,4
64234,59,110,73,4
64235,59,110,74,2
64236,59,111,64,2
64237,59,111,65,2
64238,59,111,66,2
64239,59,111,67,4
64240,59,111,68,4
64241,59,111,69,4
64242,59,111,70,4
64243,59,111,71,4
64244,59,111,72,4
64245,59,111,73,4
64246,59,111,74,2
64247,59,112,65,2
64248,59,112,66,2
64249,59,112,67,4
64250,59,112,68,4
64251,59,112,69,4
64252,59,112,71,4
64253,59,112,72,4
64254,59,112,73,4
64255,59,112,74,2
64256,59,113,67,2
64257,59,113,68,4
64258,59,113,69,4
64259,59,113,70,4
64260,59,113,71,4
64261,59,113,72,4
64262,59,113,73,4
64263,59,113,74,2
64264,59,113,75,2
64265,59,114,68,4
64266,59,114,69,4
64267,59,114,70,4
64268,59,114,71,4
64269,59,114,72,4
64270,59,114,73,4
64271,59,114,74,4
64272,59,114,75,2
64273,59,114,76,2
64274,59,115,67,2
64275,59,115,68,2
64276,59,115,69,4
64277,59,115,70,4
64278,59,115,71,4
64279,59,115,72,4
64280,59,115,73,4
64281,59,115,74,4
64282,59,115,75,2
64283,59,116,50,2
64284,59,116,51,2
64285,59,116,52,4
64286,59,116,68,2
64287,59,116,70,4
64288,59,116,71,4
64289,59,116,72,4
64290,59,116,73,4
64291,59,116,74,2
64292,59,116,75,2
64293,59,117,49,2
64294,59,117,50,4
64295,59,117,51,4
64296,59,117,53,4
64297,59,117,70,4
64298,59,117,71,4
64299,59,117,72,4
64300,59,117,73,4
64301,59,117,74,4
64302,59,117,75,2
64303,59,117,76,2
64304,59,118,50,4
64305,59,118,51,4
64306,59,118,52,4
64307,59,118,53,4
64308,59,118,54,4
64309,59,118,70,4
64310,59,118,71,4
64311,59,118,72,4
64312,59,118,73,4
64313,59,118,74,4
64314,59,118,75,2
64315,59,118,76,2
64316,59,119,50,4
64317,59,119,51,4
64318,59,119,52,4
64319,59,119,54,4
64320,59,119,69,4
64321,59,119,70,4
64322,59,119,71,4
64323,59,119,72,4
64324,59,119,73,4
64325,59,119,74,4
64326,59,119,75,2
64327,59,120,50,4
64328,59,120,51,4
64329,59,120,52,4
64330,59,120,53,4
64331,59,120,54,4
64332,59,120,55,4
64333,59,120,69,4
64334,59,120,70,4
64335,59,120,71,4
64336,59,120,73,4
64337,59,120,74,4
64338,59,120,75,2
64339,59,121,49,4
64340,59,121,50,4
64341,59,121,51,4
64342,59,121,52,4
64343,59,121,53,4
64344,59,121,54,4
64345,59,121,55,4
64346,59,121,56,4
64347,59,121,69,4
64348,59,121,70,4
64349,59,121,71,4
64350,59,121,72,4
64351,59,121,73,4
64352,59,121,74,4
64353,59,121,75,2
64354,59,122,49,4
64355,59,122,50,4
64356,59,122,51,4
64357,59,122,52,4
64358,59,122,53,4
64359,59,122,54,4
64360,59,122,55,4
64361,59,122,56,4
64362,59,122,57,4
64363,59,122,69,4
64364,59,122,70,4
64365,59,122,72,4
64366,59,122,73,4
64367,59,122,74,4
64368,59,122,75,4
64369,59,123,50,4
64370,59,123,51,4
64371,59,123,52,4
64372,59,123,53,4
64373,59,123,54,4
64374,59,123,55,4
64375,59,123,56,4
64376,59,123,57,4
64377,59,123,69,4
64378,59,123,70,4
64379,59,123,71,4
64380,59,123,72,4
64381,59,123,73,4
64382,59,123,74,4
64383,59,123,75,4
64384,59,123,76,2
64385,59,124,54,4
64386,59,124,55,4
64387,59,124,56,4
64388,59,124,58,4
64389,59,124,69,4
64390,59,124,70,4
64391,59,124,71,4
64392,59,124,72,4
64393,59,124,73,4
64394,59,124,74,4
64395,59,124,75,4
64396,59,124,76,2
64397,59,125,54,4
64398,59,125,55,4
64399,59,125,56,4
64400,59,125,57,4
64401,59,125,58,2
64402,59,125,59,2
64403,59,125,70,4
64404,59,125,71,4
64405,59,125,72,4
64406,59,125,73,4
64407,59,125,74,4
64408,59,125,75,4
64409,59,125,76,2
64410,59,125,77,2
64411,59,126,54,2
64412,59,126,55,4
64413,59,126,56,4
64414,59,126,57,2
64415,59,126,58,2
64416,59,126,59,2
64417,59,126,70,4
64418,59,126,71,4
64419,59,126,72,4
64420,59,126,73,4
64421,59,126,74,4
64422,59,126,75,4
64423,59,126,76,2
64424,59,126,77,2
64425,59,127,54,2
64426,59,127,55,4
64427,59,127,56,4
64428,59,127,57,4
64429,59,127,58,2
64430,59,127,59,2
64431,59,127,60,2
64432,59,127,71,4
64433,59,127,72,4
64434,59,127,73,4
64435,59,127,74,4
64436,59,127,75,2
64437,59,127,76,2
64438,59,127,77,2
64439,59,128,54,2
64440,59,128,55,2
64441,59,128,56,4
64442,59,128,57,2
64443,59,128,58,2
64444,59,128,59,2
64445,59,128,71,2
64446,59,128,72,4
64447,59,128,73,4
64448,59,128,74,4
64449,59,128,75,2
64450,59,128,76,2
64451,59,128,77,2
64452,59,129,54,2
64453,59,129,55,2
64454,59,129,57,2
64455,59,129,58,2
64456,59,129,71,2
64457,59,129,72,2
64458,59,129,73,4
64459,59,129,74,2
64460,59,129,75,2
64461,59,129,76,2
64462,59,129,77,2
64463,59,130,55,2
64464,59,130,56,2
64465,59,130,72,2
64466,59,130,73,2
64467,59,130,74,2
64468,59,130,75,2
64469,59,130,76,2
64470,59,130,77,2
64471,60,102,69,4
64472,60,102,70,4
64473,60,103,68,2
64474,60,103,69,4
64475,60,103,70,4
64476,60,104,69,2
64477,60,104,70,4
64478,60,104,71,4
64479,60,105,69,4
64480,60,105,70,4
64481,60,105,71,4
64482,60,105,72,4
64483,60,106,67,2
64484,60,106,68,2
64485,60,106,69,4
64486,60,106,70,4
64487,60,106,71,4
64488,60,106,72,4
64489,60,106,73,4
64490,60,107,68,4
64491,60,107,69,4
64492,60,107,70,4
64493,60,107,71,4
64494,60,107,72,4
64495,60,107,73,4
64496,60,107,74,2
64497,60,108,67,4
64498,60,108,68,4
64499,60,108,69,4
64500,60,108,70,4
64501,60,108,71,4
64502,60,108,72,4
64503,60,108,73,4
64504,60,109,66,4
64505,60,109,67,4
64506,60,109,68,4
64507,60,109,69,4
64508,60,109,70,4
64509,60,109,71,13
64510,60,109,72,4
64511,60,109,73,4
64512,60,109,74,2
64513,60,110,65,2
64514,60,110,66,4
64515,60,110,67,4
64516,60,110,68,4
64517,60,110,69,4
64518,60,110,70,13
64519,60,110,71,13
64520,60,110,73,4
64521,60,110,74,4
64522,60,111,65,2
64523,60,111,66,4
64524,60,111,67,4
64525,60,111,68,4
64526,60,111,69,4
64527,60,111,70,13
64528,60,111,73,4
64529,60,111,74,4
64530,60,111,75,2
64531,60,112,65,2
64532,60,112,66,4
64533,60,112,67,4
64534,60,112,68,4
64535,60,112,69,13
64536,60,112,70,13
64537,60,112,71,13
64538,60,112,72,13
64539,60,112,73,4
64540,60,112,74,4
64541,60,112,75,2
64542,60,113,49,2
64543,60,113,66,2
64544,60,113,67,4
64545,60,113,69,4
64546,60,113,70,13
64547,60,113,71,13
64548,60,113,72,13
64549,60,113,73,4
64550,60,113,74,4
64551,60,113,75,2
64552,60,114,47,2
64553,60,114,48,2
64554,60,114,49,2
64555,60,114,50,2
64556,60,114,68,4
64557,60,114,69,4
64558,60,114,70,13
64559,60,114,71,13
64560,60,114,72,4
64561,60,114,73,4
64562,60,114,74,4
64563,60,114,75,2
64564,60,114,76,2
64565,60,115,46,2
64566,60,115,47,2
64567,60,115,48,2
64568,60,115,49,4
64569,60,115,50,4
64570,60,115,51,4
64571,60,115,52,4
64572,60,115,68,4
64573,60,115,69,4
64574,60,115,70,4
64575,60,115,71,13
64576,60,115,72,4
64577,60,115,73,4
64578,60,115,74,4
64579,60,115,75,2
64580,60,115,76,2
64581,60,116,47,2
64582,60,116,48,4
64583,60,116,49,4
64584,60,116,51,4
64585,60,116,52,4
64586,60,116,68,2
64587,60,116,69,4
64588,60,116,70,4
64589,60,116,71,13
64590,60,116,72,4
64591,60,116,73,4
64592,60,116,74,4
64593,60,116,75,4
64594,60,116,76,2
64595,60,117,48,4
64596,60,117,49,4
64597,60,117,50,4
64598,60,117,51,4
64599,60,117,52,4
64600,60,117,53,4
64601,60,117,69,4
64602,60,117,70,4
64603,60,117,71,13
64604,60,117,72,4
64605,60,117,73,4
64606,60,117,74,4
64607,60,117,75,4
64608,60,117,76,2
64609,60,118,48,4
64610,60,118,49,4
64611,60,118,50,4
64612,60,118,51,4
64613,60,118,52,4
64614,60,118,53,4
64615,60,118,54,4
64616,60,118,55,4
64617,60,118,69,4
64618,60,118,70,4
64619,60,118,71,4
64620,60,118,73,4
64621,60,118,74,4
64622,60,118,75,2
64623,60,118,76,2
64624,60,118,77,2
64625,60,119,48,4
64626,60,119,49,4
64627,60,119,50,4
64628,60,119,51,4
64629,60,119,52,10
64630,60,119,53,4
64631,60,119,54,4
64632,60,119,55,4
64633,60,119,56,4
64634,60,119,69,4
64635,60,119,70,4
64636,60,119,71,4
64637,60,119,72,4
64638,60,119,73,4
64639,60,119,74,4
64640,60,119,75,2
64641,60,119,76,2
64642,60,120,47,4
64643,60,120,48,4
64644,60,120,49,4
64645,60,120,50,4
64646,60,120,51,10
64647,60,120,52,10
64648,60,120,53,10
64649,60,120,54,4
64650,60,120,55,4
64651,60,120,57,4
64652,60,120,58,2
64653,60,120,68,2
64654,60,120,69,4
64655,60,120,70,4
64656,60,120,71,4
64657,60,120,72,4
64658,60,120,73,4
64659,60,120,74,4
64660,60,120,75,2
64661,60,120,76,2
64662,60,121,48,4
64663,60,121,49,4
64664,60,121,50,4
64665,60,121,52,10
64666,60,121,53,4
64667,60,121,54,4
64668,60,121,55,4
64669,60,121,56,4
64670,60,121,57,4
64671,60,121,58,2
64672,60,121,59,2
64673,60,121,69,4
64674,60,121,70,4
64675,60,121,71,13
64676,60,121,72,4
64677,60,121,73,4
64678,60,121,74,4
64679,60,121,75,4
64680,60,121,76,2
64681,60,122,47,4
64682,60,122,49,4
64683,60,122,50,4
64684,60,122,51,4
64685,60,122,52,4
64686,60,122,53,4
64687,60,122,54,4
64688,60,122,55,4
64689,60,122,56,4
64690,60,122,57,4
64691,60,122,58,4
64692,60,122,59,2
64693,60,122,60,2
64694,60,122,69,4
64695,60,122,70,4
64696,60,122,71,13
64697,60,122,72,13
64698,60,122,73,4
64699,60,122,74,4
64700,60,122,75,4
64701,60,122,76,2
64702,60,123,48,4
64703,60,123,49,4
64704,60,123,50,4
64705,60,123,51,4
64706,60,123,52,4
64707,60,123,53,4
64708,60,123,54,4
64709,60,123,55,4
64710,60,123,56,4
64711,60,123,57,4
64712,60,123,58,4
64713,60,123,59,4
64714,60,123,60,2
64715,60,123,61,2
64716,60,123,69,4
64717,60,123,70,4
64718,60,123,71,13
64719,60,123,72,13
64720,60,123,73,4
64721,60,123,74,4
64722,60,123,75,4
64723,60,123,76,2
64724,60,124,46,2
64725,60,124,47,2
64726,60,124,48,4
64727,60,124,50,4
64728,60,124,51,4
64729,60,124,52,4
64730,60,124,53,4
64731,60,124,54,4
64732,60,124,55,4
64733,60,124,56,4
64734,60,124,57,4
64735,60,124,58,4
64736,60,124,59,4
64737,60,124,60,2
64738,60,124,61,2
64739,60,124,69,4
64740,60,124,70,4
64741,60,124,71,13
64742,60,124,72,13
64743,60,124,73,13
64744,60,124,74,4
64745,60,124,75,4
64746,60,124,76,2
64747,60,125,42,2
64748,60,125,44,4
64749,60,125,45,4
64750,60,125,46,4
64751,60,125,47,4
64752,60,125,48,4
64753,60,125,53,4
64754,60,125,54,4
64755,60,125,55,4
64756,60,125,56,4
64757,60,125,57,4
64758,60,125,58,4
64759,60,125,59,4
64760,60,125,60,2
64761,60,125,61,2
64762,60,125,69,4
64763,60,125,70,4
64764,60,125,71,13
64765,60,125,72,13
64766,60,125,73,13
64767,60,125,74,4
64768,60,125,75,4
64769,60,125,76,2
64770,60,125,77,2
